Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
009094,00965200,University of Puerto Rico  Ponce,2151 Santiago de los Caballeros Ave,Ponce,PR,00716-0000,0,0,0%,18,13712                                                                                                                                  
009099,00722800,University of Puerto Rico - Arecibo,Street Number 653  Route 128  Km.8,Arecibo,PR,00614-4010,3,1,33.33%,41,38302                                                                                                                          
009113,00720600,University of Puerto Rico - Cayey University College,205 Antonio R. Barcelo Avenue,Cayey,PR,00736-5534,1,1,100%,17,28678                                                                                                                  
009095,00394300,University of Puerto Rico - Humacao University College,100 State Road 908,Humacao,PR,00791-4300,1,0,0%,27,42573                                                                                                                           
009125,00394400,University of Puerto Rico - Mayaguez,Road # 2 Post Street Alfonso Valdez,Mayaguez,PR,00680-0000,35,4,11.43%,323,304249                                                                                                                    
009093,02460000,University of Puerto Rico - Medical Science Campus,Terrenos Centro Medico,Rio Piedras,PR,00936-0000,0,0,0%,40,58915                                                                                                                       
009109,00710800,University of Puerto Rico - Rio Piedras Campus,39 Ponce de Leon Avenue,R?o Piedras,PR,00931-3300,3,1,33.33%,277,316549                                                                                                                    
009100,01092200,University of Puerto Rico - Utuado,Carretera Num. 123 Kilometro 52.2,Utuado,PR,00641-2500,0,0,0%,12,15782                                                                                                                                 
009096,01097500,University of Puerto Rico Bayamon Technical University College,Numero 170 Carretera 174,Bayamon,PR,00959-1911,0,0,0%,11,15631                                                                                                             
004590,00393700,University of the Sacred Heart,Rosales & San Antonio Street,San Juan,PR,00914-0383,125,14,11.2%,413,1450769                                                                                                                               
003743,00340100,Brown University,Prospect Street,Providence,RI,02912-9127,520,5,.96%,146,667810                                                                                                                                                           
003744,00340200,Bryant University,1150 Douglas Pike,Smithfield,RI,02917-1284,319,2,.63%,220,472348                                                                                                                                                        
003745,00340400,Johnson & Wales University,8 Abbott Park Place,Providence,RI,02903-3703,2434,222,9.12%,5515,16557216                                                                                                                                      
003747,00340600,Providence College,549 River Avenue,Providence,RI,02918-0001,318,11,3.46%,181,477723                                                                                                                                                      
003748,00340700,Rhode Island College,600 Mt Pleasant Avenue,Providence,RI,02908-1991,306,61,19.93%,773,1307912                                                                                                                                            
003751,00340900,Rhode Island School of Design,Two College Street,Providence,RI,02903-2784,142,14,9.86%,153,574661                                                                                                                                         
003753,00341000,Roger Williams University,One Old Ferry Road,Bristol,RI,02809-2921,220,19,8.64%,360,387311                                                                                                                                                
003754,00341100,Salve Regina University,100 Ochre Point Avenue,Newport,RI,02840-4192,97,12,12.37%,248,359500                                                                                                                                              
003757,00341400,University of Rhode Island,Green Hall,Kingston,RI,02881-0000,508,117,23.03%,1176,2662542                                                                                                                                                  
003760,00341700,Allen University,1530 Harden Street,Columbia,SC,29204-1085,0,0,0%,37,63378                                                                                                                                                                
003761,00341800,Anderson University,316 Boulevard,Anderson,SC,29621-4035,105,14,13.33%,213,438925                                                                                                                                                         
003765,00342000,Benedict College,1600 Harden Street,Columbia,SC,29204-1086,34,8,23.53%,405,593288                                                                                                                                                         
003763,00341900,Charleston Southern University,9200 University Boulevard,Charleston,SC,29406-2160,146,21,14.38%,523,1067801                                                                                                                               
003769,00342300,Citadel  The Military College of South Carolina,171 Moultrie Street,Charleston,SC,29409-0002,57,12,21.05%,31,119920                                                                                                                       
003770,00342400,Claflin University,400 Magnolia Street,Orangeburg,SC,29115-4498,78,43,55.13%,823,879909                                                                                                                                                   
003771,00342500,Clemson University,201 Sikes Hall,Clemson,SC,29634-0001,163,12,7.36%,239,508002                                                                                                                                                           
007401,00345100,Coastal Carolina University,755 Highway 544,Conway,SC,29526-8428,72,16,22.22%,134,360315                                                                                                                                                  
003773,00342700,Coker College,300 East College Avenue,Hartsville,SC,29550-3797,86,17,19.77%,105,194369                                                                                                                                                    
003774,00342800,College of Charleston,66 George Street,Charleston,SC,29424-0100,89,12,13.48%,305,467506                                                                                                                                                   
003775,00343000,Columbia College,1301 Columbia College Drive,Columbia,SC,29203-5998,56,16,28.57%,76,180533                                                                                                                                                
003778,00343100,Converse College,580 East Main Street,Spartanburg,SC,29302-1931,62,11,17.74%,42,119700                                                                                                                                                    
003781,00343200,Erskine College,2 Washington Street,Due West,SC,29639-0000,80,9,11.25%,36,130393                                                                                                                                                          
003782,00399000,Florence - Darlington Technical College,2715 West Lucas Street,Florence,SC,29501-1251,37,1,2.7%,54,115977                                                                                                                                 
003783,00492400,Forrest College,601 East River Street,Anderson,SC,29624-2405,13,1,7.69%,20,37214                                                                                                                                                          
003784,00922600,Francis Marion University,Highway 301 North,Florence,SC,29506-0000,69,8,11.59%,53,209771                                                                                                                                                  
003786,00343400,Furman University,3300 Poinsett Highway,Greenville,SC,29613-5253,116,9,7.76%,93,471772                                                                                                                                                    
003790,00343500,Lander University,320 Stanley Avenue,Greenwood,SC,29649-2099,76,14,18.42%,160,287620                                                                                                                                                      
003791,00343600,Limestone College,1115 College Drive,Gaffney,SC,29340-3799,28,14,50%,34,78043                                                                                                                                                             
003792,00343800,Medical University of South Carolina,171 Ashley Avenue,Charleston,SC,29425-0100,264,6,2.27%,59,115675                                                                                                                                     
003794,00343900,Morris College,100 West College Street,Sumter,SC,29150-3599,72,48,66.67%,445,428420                                                                                                                                                       
003795,00344000,Newberry College,2100 College Street,Newberry,SC,29108-2197,48,17,35.42%,195,405165                                                                                                                                                       
003802,00344500,Presbyterian College,503 South Broad Street,Clinton,SC,29325-2503,76,7,9.21%,42,112089                                                                                                                                                    
005128,02063700,Sherman College of Straight Chiropractic,2020 Springfield Road,Spartanburg,SC,29316-7251,66,19,28.79%,144,722771                                                                                                                          
003805,00344600,South Carolina State University,300 College Street Northeast,Orangeburg,SC,29117-4427,123,25,20.33%,512,565328                                                                                                                            
003767,00342200,Southern Wesleyan University,907 Wesleyan Drive,Central,SC,29630-1020,59,6,10.17%,76,187904                                                                                                                                               
003808,00344700,Spartanburg Methodist College,1000 Powell Mill Road,Spartanburg,SC,29301-5899,45,18,40%,95,264185                                                                                                                                         
007399,00344900,University of South Carolina - Aiken,471 University Parkway,Aiken,SC,29801-6399,48,11,22.92%,52,121182                                                                                                                                    
003813,00344800,University of South Carolina - Columbia,Columbia-Campus,Columbia,SC,29208-3999,636,28,4.4%,324,885984                                                                                                                                     
003812,00991100,University of South Carolina Regional Campuses,1600 Hampton Street Annex,Columbia,SC,29208-0001,83,11,13.25%,101,230142                                                                                                                   
007400,00695100,University of South Carolina Upstate,800 University Way,Spartanburg,SC,29303-9972,56,7,12.5%,76,124635                                                                                                                                    
003814,00345500,Voorhees College,481 Porter Road,Denmark,SC,29042-0000,4,1,25%,425,378567                                                                                                                                                                 
003816,00345600,Winthrop University,701 Oakland Avenue,Rock Hill,SC,29733-0001,147,12,8.16%,203,285493                                                                                                                                                    
003817,00345700,Wofford College,429 North Church Street,Spartanburg,SC,29303-3663,65,2,3.08%,34,63031                                                                                                                                                     
